Unnamed: 0,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1384,1385,46,Male,Sneakers,Footwear,96,Alaska,Beige,Fall,4.6,No,Standard,Yes,Yes,8,Bank Transfer,Weekly
894,895,44,Male,Hoodie,Clothing,60,Wyoming,Purple,Spring,3.8,Yes,Free Shipping,Yes,Yes,3,Debit Card,Quarterly
828,829,24,Male,Socks,Clothing,62,Nevada,Peach,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,27,PayPal,Bi-Weekly
3793,3794,62,Female,Sunglasses,Accessories,20,Delaware,Pink,Fall,4.0,No,Standard,No,No,46,Bank Transfer,Annually
2523,2524,43,Male,Handbag,Accessories,24,New Jersey,Cyan,Spring,3.4,No,Express,No,No,21,Bank Transfer,Annually
1683,1684,23,Male,Coat,Outerwear,57,Arkansas,Lavender,Spring,3.5,No,Next Day Air,No,No,37,Venmo,Quarterly
3339,3340,20,Female,Gloves,Accessories,99,Nebraska,Cyan,Fall,3.6,No,Store Pickup,No,No,35,Cash,Fortnightly
3316,3317,42,Female,Socks,Clothing,45,New Mexico,Olive,Summer,3.1,No,Free Shipping,No,No,5,Debit Card,Fortnightly
3256,3257,60,Female,Sunglasses,Accessories,26,Wisconsin,Teal,Winter,4.7,No,Free Shipping,No,No,50,Venmo,Every 3 Months
652,653,64,Male,Sunglasses,Accessories,27,Minnesota,Beige,Winter,3.1,Yes,Free Shipping,Yes,Yes,27,Venmo,Weekly
172,173,54,Male,Jewelry,Accessories,67,Nebraska,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
38,39,29,Male,Dress,Clothing,37,Florida,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
3721,3722,62,Female,Coat,Outerwear,60,Connecticut,Pink,Fall,4.0,No,Next Day Air,No,No,10,Cash,Annually
713,714,37,Male,Hoodie,Clothing,90,Oregon,Lavender,Summer,2.6,Yes,Express,Yes,Yes,39,Bank Transfer,Bi-Weekly
90,91,25,Male,Hat,Accessories,48,South Carolina,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
3836,3837,62,Female,Skirt,Clothing,84,Alaska,Violet,Spring,2.5,No,Free Shipping,No,No,38,PayPal,Fortnightly
1205,1206,52,Male,Handbag,Accessories,99,California,Olive,Spring,3.5,No,Standard,Yes,Yes,38,Bank Transfer,Fortnightly
2923,2924,28,Female,Shirt,Clothing,70,Pennsylvania,Magenta,Spring,4.2,No,2-Day Shipping,No,No,12,Cash,Quarterly
3203,3204,63,Female,Coat,Outerwear,29,New Jersey,Teal,Spring,4.1,No,Express,No,No,14,Venmo,Annually
3351,3352,43,Female,Shirt,Clothing,49,New Hampshire,Cyan,Spring,4.2,No,2-Day Shipping,No,No,18,Bank Transfer,Fortnightly
1827,1828,20,Male,T-shirt,Clothing,36,Vermont,Pink,Spring,4.9,No,2-Day Shipping,No,No,31,Bank Transfer,Weekly
1155,1156,67,Male,T-shirt,Clothing,53,Tennessee,Red,Fall,2.6,No,Express,Yes,Yes,47,PayPal,Quarterly
1324,1325,39,Male,Jewelry,Accessories,77,Indiana,Orange,Summer,3.8,No,Free Shipping,Yes,Yes,11,Credit Card,Fortnightly
216,217,43,Male,Shorts,Clothing,61,Massachusetts,Yellow,Spring,3.7,Yes,Free Shipping,Yes,Yes,21,Venmo,Weekly
510,511,21,Male,Shirt,Clothing,87,West Virginia,Teal,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,22,Venmo,Annually
1680,1681,61,Male,Shoes,Footwear,37,Louisiana,Olive,Summer,3.4,No,Store Pickup,No,No,6,Credit Card,Annually
499,500,36,Male,Shoes,Footwear,99,Rhode Island,Silver,Winter,4.8,Yes,Express,Yes,Yes,24,PayPal,Monthly
3210,3211,30,Female,Socks,Clothing,67,Nevada,Magenta,Summer,2.9,No,Express,No,No,43,Venmo,Bi-Weekly
1856,1857,63,Male,Jewelry,Accessories,55,Arizona,Beige,Summer,3.2,No,Free Shipping,No,No,30,PayPal,Bi-Weekly
1388,1389,62,Male,Dress,Clothing,23,Arkansas,Lavender,Spring,3.9,No,Express,Yes,Yes,40,Cash,Quarterly
1519,1520,50,Male,Sunglasses,Accessories,73,Texas,Cyan,Fall,4.9,No,Next Day Air,Yes,Yes,40,PayPal,Weekly
2386,2387,19,Male,Socks,Clothing,33,Illinois,Blue,Summer,2.9,No,Standard,No,No,14,Venmo,Monthly
3534,3535,65,Female,Shoes,Footwear,83,Delaware,Gray,Fall,3.2,No,Express,No,No,7,Cash,Weekly
2076,2077,59,Male,Gloves,Accessories,23,Florida,Indigo,Fall,4.6,No,Free Shipping,No,No,22,Debit Card,Bi-Weekly
1540,1541,28,Male,Shorts,Clothing,95,Colorado,Red,Winter,2.9,No,Next Day Air,Yes,Yes,14,Bank Transfer,Monthly
