Unnamed: 0,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
813,814,54,Male,Handbag,Accessories,45,Montana,Olive,Summer,2.9,Yes,Store Pickup,Yes,Yes,14,Debit Card,Annually
1914,1915,28,Male,Shorts,Clothing,97,Alaska,Green,Fall,3.4,No,Standard,No,No,40,Credit Card,Fortnightly
3287,3288,24,Female,Skirt,Clothing,63,West Virginia,Black,Spring,4.3,No,2-Day Shipping,No,No,38,Credit Card,Weekly
3835,3836,58,Female,Sandals,Footwear,58,Pennsylvania,Silver,Winter,2.6,No,Express,No,No,28,PayPal,Bi-Weekly
1804,1805,30,Male,Sweater,Clothing,42,Louisiana,Peach,Winter,4.4,No,Next Day Air,No,No,39,Credit Card,Weekly
2804,2805,65,Female,Hoodie,Clothing,76,South Carolina,Cyan,Spring,2.8,No,Standard,No,No,48,Bank Transfer,Every 3 Months
250,251,33,Male,Skirt,Clothing,25,Mississippi,Black,Fall,4.0,Yes,Express,Yes,Yes,9,Bank Transfer,Weekly
545,546,33,Male,Coat,Outerwear,32,Alabama,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,48,Debit Card,Annually
738,739,56,Male,Sunglasses,Accessories,31,Minnesota,Orange,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,27,Venmo,Quarterly
310,311,56,Male,Pants,Clothing,85,Montana,Charcoal,Winter,4.6,Yes,Standard,Yes,Yes,50,Cash,Fortnightly
1131,1132,67,Male,Shirt,Clothing,73,Illinois,Black,Spring,3.7,No,Express,Yes,Yes,20,Bank Transfer,Monthly
1449,1450,18,Male,Socks,Clothing,41,New York,Lavender,Winter,2.5,No,Store Pickup,Yes,Yes,20,Cash,Every 3 Months
3778,3779,25,Female,Sneakers,Footwear,60,South Dakota,Cyan,Fall,2.9,No,Free Shipping,No,No,30,Debit Card,Annually
15,16,64,Male,Skirt,Clothing,81,Rhode Island,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
3415,3416,38,Female,Blouse,Clothing,68,New York,Gold,Fall,3.0,No,2-Day Shipping,No,No,15,Bank Transfer,Annually
3423,3424,33,Female,Boots,Footwear,71,Massachusetts,Brown,Spring,3.8,No,Next Day Air,No,No,21,PayPal,Bi-Weekly
3131,3132,34,Female,Jacket,Outerwear,59,North Dakota,Peach,Fall,2.9,No,Store Pickup,No,No,11,Bank Transfer,Every 3 Months
363,364,55,Male,Shorts,Clothing,88,Florida,Yellow,Winter,3.1,Yes,Free Shipping,Yes,Yes,42,Bank Transfer,Fortnightly
182,183,38,Male,Gloves,Accessories,96,Alabama,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
