Unnamed: 0,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
3526,3527,20,Female,Sweater,Clothing,99,Massachusetts,Olive,Spring,3.8,No,Express,No,No,1,PayPal,Every 3 Months
3490,3491,62,Female,Boots,Footwear,82,Oregon,Violet,Spring,3.6,No,Store Pickup,No,No,43,Credit Card,Quarterly
998,999,51,Male,Shoes,Footwear,90,Connecticut,White,Spring,3.8,Yes,Next Day Air,Yes,Yes,48,Bank Transfer,Bi-Weekly
2475,2476,69,Male,Dress,Clothing,43,California,Lavender,Summer,3.5,No,Next Day Air,No,No,36,Venmo,Monthly
1602,1603,54,Male,Sunglasses,Accessories,48,West Virginia,Charcoal,Winter,2.8,No,Free Shipping,Yes,Yes,13,Venmo,Fortnightly
1952,1953,57,Male,Shoes,Footwear,82,Maryland,Yellow,Summer,4.6,No,2-Day Shipping,No,No,50,Cash,Bi-Weekly
1397,1398,55,Male,Sunglasses,Accessories,67,Massachusetts,Magenta,Summer,4.7,No,Store Pickup,Yes,Yes,33,PayPal,Annually
3565,3566,49,Female,Handbag,Accessories,52,Pennsylvania,Gray,Spring,4.2,No,Store Pickup,No,No,35,PayPal,Monthly
2104,2105,53,Male,Shoes,Footwear,88,New Mexico,Gold,Spring,2.8,No,Free Shipping,No,No,47,Venmo,Weekly
3877,3878,28,Female,Hoodie,Clothing,96,Nevada,Olive,Spring,4.2,No,Next Day Air,No,No,46,Debit Card,Monthly
3493,3494,48,Female,Pants,Clothing,82,New Mexico,Black,Winter,4.7,No,Store Pickup,No,No,35,Credit Card,Weekly
2670,2671,30,Female,Sunglasses,Accessories,44,Pennsylvania,Yellow,Fall,4.7,No,Express,No,No,26,Bank Transfer,Bi-Weekly
440,441,20,Male,Shirt,Clothing,89,Oklahoma,Maroon,Winter,3.5,Yes,Store Pickup,Yes,Yes,34,Debit Card,Fortnightly
508,509,27,Male,Jewelry,Accessories,20,Illinois,Yellow,Winter,3.7,Yes,Store Pickup,Yes,Yes,31,PayPal,Quarterly
1100,1101,50,Male,Pants,Clothing,28,Nevada,Gold,Spring,4.4,No,Express,Yes,Yes,2,Credit Card,Weekly
589,590,28,Male,Shirt,Clothing,70,Minnesota,Orange,Fall,3.4,Yes,2-Day Shipping,Yes,Yes,40,PayPal,Annually
3708,3709,40,Female,Hoodie,Clothing,96,South Carolina,Red,Fall,4.9,No,Express,No,No,41,PayPal,Monthly
649,650,53,Male,Pants,Clothing,93,Delaware,Orange,Spring,4.2,Yes,Store Pickup,Yes,Yes,33,PayPal,Every 3 Months
1546,1547,60,Male,Sneakers,Footwear,51,Oregon,Purple,Summer,3.8,No,Express,Yes,Yes,17,Bank Transfer,Annually
3552,3553,22,Female,Sunglasses,Accessories,66,Kentucky,Blue,Winter,2.9,No,Next Day Air,No,No,3,PayPal,Quarterly
3820,3821,34,Female,Belt,Accessories,65,New Hampshire,Purple,Winter,5.0,No,Standard,No,No,34,Debit Card,Quarterly
2607,2608,41,Male,Shoes,Footwear,36,Oklahoma,Teal,Spring,3.1,No,Express,No,No,38,PayPal,Every 3 Months
3761,3762,60,Female,Backpack,Accessories,30,Nevada,Green,Summer,2.8,No,Next Day Air,No,No,3,Venmo,Every 3 Months
2319,2320,56,Male,Sandals,Footwear,38,Maine,Turquoise,Winter,5.0,No,Free Shipping,No,No,29,PayPal,Monthly
1455,1456,60,Male,Pants,Clothing,79,Alabama,Silver,Fall,4.9,No,Express,Yes,Yes,1,PayPal,Every 3 Months
2008,2009,57,Male,Skirt,Clothing,48,Florida,Gray,Spring,2.5,No,Free Shipping,No,No,27,PayPal,Every 3 Months
660,661,50,Male,Coat,Outerwear,79,Montana,Olive,Fall,5.0,Yes,2-Day Shipping,Yes,Yes,39,Credit Card,Quarterly
630,631,41,Male,Jewelry,Accessories,94,Mississippi,Silver,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,33,Debit Card,Annually
672,673,59,Male,Socks,Clothing,53,Washington,Peach,Winter,3.3,Yes,2-Day Shipping,Yes,Yes,29,Cash,Quarterly
1249,1250,62,Male,Boots,Footwear,50,Oregon,Peach,Winter,4.5,No,Express,Yes,Yes,48,Venmo,Fortnightly
1647,1648,34,Male,Boots,Footwear,78,Hawaii,Purple,Summer,4.9,No,Store Pickup,Yes,Yes,8,Debit Card,Quarterly
482,483,41,Male,Belt,Accessories,42,Connecticut,Yellow,Winter,2.5,Yes,2-Day Shipping,Yes,Yes,11,Venmo,Annually
1584,1585,41,Male,Blouse,Clothing,95,Hawaii,Silver,Spring,3.1,No,Store Pickup,Yes,Yes,46,Credit Card,Quarterly
1874,1875,67,Male,Pants,Clothing,33,Indiana,Purple,Fall,3.6,No,Free Shipping,No,No,14,Cash,Weekly
3326,3327,47,Female,Gloves,Accessories,95,North Dakota,Magenta,Summer,4.3,No,Standard,No,No,10,Debit Card,Annually
2971,2972,30,Female,Handbag,Accessories,100,Utah,Yellow,Fall,3.9,No,Next Day Air,No,No,9,PayPal,Every 3 Months
1462,1463,38,Male,Sneakers,Footwear,90,Utah,Charcoal,Summer,4.8,No,2-Day Shipping,Yes,Yes,2,Venmo,Quarterly
2698,2699,55,Female,Hoodie,Clothing,57,Virginia,Magenta,Summer,3.6,No,Store Pickup,No,No,34,Venmo,Quarterly
3055,3056,27,Female,Sandals,Footwear,22,Kansas,Violet,Fall,5.0,No,Standard,No,No,5,Debit Card,Bi-Weekly
2320,2321,28,Male,Shoes,Footwear,55,New Mexico,Olive,Spring,3.7,No,Free Shipping,No,No,9,Debit Card,Every 3 Months
856,857,55,Male,Shirt,Clothing,33,Alaska,Gold,Summer,3.5,Yes,Express,Yes,Yes,47,Debit Card,Fortnightly
1225,1226,28,Male,Gloves,Accessories,97,North Carolina,Turquoise,Fall,2.6,No,Free Shipping,Yes,Yes,16,Debit Card,Weekly
